movie Id,actor Id
tt0111161,nm0000209
tt0111161,nm0000151
tt0111161,nm0348409
tt0068646,nm0000008
tt0068646,nm0000199
tt0068646,nm0001001
tt0071562,nm0000199
tt0071562,nm0000134
tt0071562,nm0000380
tt0468569,nm0000288
tt0468569,nm0005132
tt0468569,nm0001173
tt0050083,nm0000020
tt0050083,nm0002011
tt0050083,nm0000842
tt0108052,nm0000553
tt0108052,nm0000146
tt0108052,nm0001426
tt0167260,nm0000704
tt0167260,nm0001557
tt0167260,nm0005212
tt0110912,nm0000237
tt0110912,nm0000235
tt0110912,nm0000168
tt0060196,nm0000142
tt0060196,nm0908919
tt0060196,nm0001812
tt0120737,nm0000704
tt0120737,nm0005212
tt0120737,nm0089217
